Year,Income,Income_per_club,Income_per_player
2004,158687000.0,7934350.0,358209.87
2005,207859500.0,10392975.0,486790.84
2006,226037750.0,11301887.5,491386.8
2007,439409020.0,21970451.0,957317.8200000001
2008,454420650.0,22721032.5,1009823.37
2009,463618800.0,23180940.0,957890.09
2010,305087550.0,15254377.5,646372.29
2011,382515770.0,19125788.5,734195.71
2012,331551700.0,16577585.0,661779.97
2013,358750100.0,17937505.0,707593.61
2014,598070566.0,29903528.3,1083461.08
2015,623744040.0,31187202.0,1267772.07
2016,775962520.0,38798126.0,2015486.8800000001
2017,1201239230.0,60061961.5,3048830.2800000003
2018,513908055.09000003,25695402.71,1338301.9
2019,819770990.0,40988549.5,2191900.9
